MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
D-4_megahit_metabat_bin-66,bin-66:07/11_103,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-66,bin-66:01/11_9,Cyc2_repCluster1,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:15/44_101,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:02/44_19,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:03/44_2,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:41/44_127,Cyc2_repCluster1,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:10/44_34,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:02/44_10,DFE_0461,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:11/44_30,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-50,bin-50:382/452_10,CbcB,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-50,bin-50:382/452_11,CbcA,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-50,bin-50:195/452_33,CbcL,Not_found,Not_found,CbcL&,
D-4_megahit_metabat_bin-50,bin-50:362/452_81,ImcH,Not_found,Not_found,ImcH&,
D-4_megahit_metabat_bin-50,bin-50:417/452_4,OmcF,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-50,bin-50:361/452_8,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-50,bin-50:223/452_4,643638976_YP_002537141_{omc}_hypothetical_protein_[Geobacter_sp._FRC-32:_NC_011979],Outer_Surface_MHC_in_PCC,Not_found,643638976_YP_002537141_{omc}_hypothetical_protein_[Geobacter_sp._FRC&,
D-4_megahit_metabat_bin-50,bin-50:223/452_5,642769371_YP_002140171_{pc}_hypothetical_protein_[Geobacter_bemidjiensis_Bem:_NC_011146],Outer_Surface_MHC_in_PCC,Not_found,642769371_YP_002140171_{pc}_hypothetical_protein_[Geobacter_bemidjiensis_Bem:_NC_011146]&Outer_Surface_MHC_in_PCC&,
D-4_megahit_metabat_bin-50,bin-50:223/452_6,637127430_NP_953784_{porin}_ombB_hypothetical_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],PCC_porin,Not_found,Irrelevant
D-4_megahit_metabat_bin-50,bin-50:176/452_6,DFE_0462,Periplasmic_MHC_in_PCC,Not_found,DFE_0462&Periplasmic_MHC_in_PCC&,
D-4_megahit_metabat_bin-50,bin-50:176/452_9,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:188/452_3,DFE_0449,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-50,bin-50:195/452_31,DFE_0448,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-50,bin-50:286/452_30,DFE_0448,Outer_Surface_MHC,Not_found,DFE_0448&Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:286/452_31,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:382/452_9,DFE_0448,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-50,bin-50:242/452_11,Not_found,Periplasmic_MHC_in_PCC,Not_found,Periplasmic_MHC_in_PCC&,
D-4_megahit_metabat_bin-50,bin-50:049/452_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:078/452_14,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:164/452_2,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:176/452_10,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:176/452_11,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:176/452_12,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:176/452_13,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:242/452_4,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&Periplasmic_MHC_in_PCC&,
D-4_megahit_metabat_bin-50,bin-50:242/452_5,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:289/452_17,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:309/452_1,Not_found,Outer_Surface_MHC,Not_found,640548485_YP_001229768_{omc}_hypothetical_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483]&Outer_Surface_MHC&Outer_Surface_MHC_in_PCC&,
D-4_megahit_metabat_bin-50,bin-50:361/452_9,Not_found,Outer_Surface_MHC,Not_found,napB&Outer_Surface_MHC&,
D-4_megahit_metabat_bin-50,bin-50:436/452_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-54,Not_found,Not_found,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-23,Not_found,Not_found,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-35,bin-35:067/789_1,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-35,bin-35:025/789_1,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-35,bin-35:438/789_1,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-35,bin-35:781/789_1,DFE_0461,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-84,bin-84:272/532_7,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC,Not_found,ExtC_pcc_lp_cyt&Outer_Surface_MHC_in_PCC&,
D-4_megahit_metabat_bin-84,bin-84:272/532_8,ExtB_porin,PCC_porin,Not_found,Irrelevant
D-4_megahit_metabat_bin-84,bin-84:194/532_2,ImcH,Not_found,Not_found,ImcH&,
D-4_megahit_metabat_bin-84,bin-84:228/532_1,CbcL,Not_found,Not_found,CbcL&,
D-4_megahit_metabat_bin-84,bin-84:250/532_1,CbcL,Not_found,Not_found,CbcL&,
D-4_megahit_metabat_bin-84,bin-84:259/532_6,CbcL,Not_found,Not_found,CbcL&,
D-4_megahit_metabat_bin-84,bin-84:272/532_6,637127415_NP_953769_{omc}_cytochrome_c_family_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],Outer_Surface_MHC_in_PCC,Not_found,637127415_NP_953769_{omc}_cytochrome_c_family_protein_[Geobacter_sulfurreducens_PCA:_NC_002939]&Outer_Surface_MHC_in_PCC&,
D-4_megahit_metabat_bin-84,bin-84:272/532_9,Not_found,Outer_Surface_MHC_in_PCC,mtrC,mtrC&Outer_Surface_MHC_in_PCC&,
D-4_megahit_metabat_bin-84,bin-84:140/532_27,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-84,bin-84:253/532_2,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-84,bin-84:416/532_11,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-84,bin-84:419/532_2,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
