MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
E5_megahit_metabat_bin-153,bin-153:035/442_21,ExtB_porin,PCC_porin,Not_found,Irrelevant
E5_megahit_metabat_bin-153,bin-153:373/442_8,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:377/442_18,Not_found,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:377/442_19,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-145,bin-145:389/561_7,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-145,bin-145:028/561_5,DFE_0461,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-048,bin-048:46/97_9,ExtB_porin,PCC_porin,Not_found,Irrelevant
E5_megahit_metabat_bin-048,bin-048:46/97_93,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC,Not_found,ExtC_pcc_lp_cyt&Outer_Surface_MHC_in_PCC&Periplasmic_MHC_in_PCC&,
E5_megahit_metabat_bin-048,bin-048:46/97_94,ExtB_porin,PCC_porin,Not_found,Irrelevant
E5_megahit_metabat_bin-048,bin-048:50/97_48,ExtB_porin,PCC_porin,Not_found,Irrelevant
E5_megahit_metabat_bin-048,bin-048:41/97_66,CbcB,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-048,bin-048:41/97_67,CbcA,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-048,bin-048:61/97_14,CbcL,Not_found,Not_found,CbcL&,
E5_megahit_metabat_bin-048,bin-048:61/97_24,ImcH,Not_found,Not_found,ImcH&,
E5_megahit_metabat_bin-048,bin-048:46/97_8,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483],Outer_Surface_MHC_in_PCC,Not_found,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483]&Outer_Surface_MHC_in_PCC&,
E5_megahit_metabat_bin-048,bin-048:46/97_92,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483],Outer_Surface_MHC_in_PCC,Not_found,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483]&Outer_Surface_MHC&Outer_Surface_MHC_in_PCC&,
E5_megahit_metabat_bin-048,bin-048:50/97_47,DFE_0462,Outer_Surface_MHC_in_PCC,Not_found,DFE_0462&Outer_Surface_MHC_in_PCC&,
E5_megahit_metabat_bin-048,bin-048:61/97_12,DFE_0448,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-048,bin-048:46/97_5,Not_found,Outer_Surface_MHC_in_PCC,Not_found,Outer_Surface_MHC&Outer_Surface_MHC_in_PCC&,
E5_megahit_metabat_bin-048,bin-048:46/97_88,Not_found,Outer_Surface_MHC_in_PCC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-048,bin-048:46/97_89,Not_found,Outer_Surface_MHC_in_PCC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-048,bin-048:24/97_35,Not_found,Periplasmic_MHC_in_PCC,Not_found,Outer_Surface_MHC&Periplasmic_MHC_in_PCC&,
E5_megahit_metabat_bin-048,bin-048:24/97_44,Not_found,Periplasmic_MHC_in_PCC,Not_found,Periplasmic_MHC_in_PCC&,
E5_megahit_metabat_bin-048,bin-048:24/97_36,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-063,bin-063:212/512_4,CbcB,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-063,bin-063:109/512_5,CbcL,Not_found,Not_found,CbcL&Periplasmic_MHC_in_PCC&,
E5_megahit_metabat_bin-063,bin-063:287/512_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-063,bin-063:287/512_2,Cyc1,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-063,bin-063:086/512_6,DFE_0449,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-063,bin-063:212/512_3,DFE_0461,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-063,bin-063:313/512_2,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
E5_megahit_metabat_bin-063,bin-063:313/512_3,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
E5_megahit_metabat_bin-063,bin-063:313/512_5,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-063,bin-063:313/512_6,MtoA,Periplasmic_MHC_in_PCC,Not_found,MtoA&Periplasmic_MHC_in_PCC&,
E5_megahit_metabat_bin-063,bin-063:313/512_7,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
E5_megahit_metabat_bin-063,bin-063:426/512_1,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
E5_megahit_metabat_bin-063,bin-063:432/512_1,DFE_0461,Outer_Surface_MHC,Not_found,DFE_0461&DFE_0462&mtrC&Outer_Surface_MHC&,
E5_megahit_metabat_bin-063,bin-063:432/512_2,DFE_0449,Periplasmic_MHC_in_PCC,Not_found,DFE_0449&Periplasmic_MHC_in_PCC&,
E5_megahit_metabat_bin-063,bin-063:460/512_1,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
E5_megahit_metabat_bin-014,bin-014:678/933_1,CbcL,Not_found,Not_found,CbcL&,
E5_megahit_metabat_bin-014,bin-014:522/933_5,ImcH,Not_found,Not_found,ImcH&,
E5_megahit_metabat_bin-014,bin-014:506/933_1,CbcL,Not_found,Not_found,CbcL&,
E5_megahit_metabat_bin-014,bin-014:203/933_2,CbcL,Not_found,Not_found,CbcL&,
E5_megahit_metabat_bin-014,bin-014:349/933_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-121,bin-121:05/36_8,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-121,bin-121:27/36_8,Cyc2_repCluster1,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-121,bin-121:24/36_82,DFE_0461,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-012,Not_found,Not_found,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-120,Not_found,Not_found,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-037,bin-037:482/841_1,CbcL,Not_found,Not_found,CbcL&,
E5_megahit_metabat_bin-037,bin-037:465/841_3,DFE_0448,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-037,bin-037:690/841_2,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-171,Not_found,Not_found,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-113,bin-113:553/729_2,CbcA,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-113,bin-113:553/729_3,CbcB,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-113,bin-113:157/729_16,CbcL,Not_found,Not_found,CbcL&,
E5_megahit_metabat_bin-113,bin-113:521/729_4,ImcH,Not_found,Not_found,ImcH&,
E5_megahit_metabat_bin-113,bin-113:224/729_2,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-113,bin-113:330/729_1,637127430_NP_953784_{porin}_ombB_hypothetical_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],PCC_porin,Not_found,Irrelevant
E5_megahit_metabat_bin-113,bin-113:330/729_2,642769371_YP_002140171_{pc}_hypothetical_protein_[Geobacter_bemidjiensis_Bem:_NC_011146],Outer_Surface_MHC_in_PCC,Not_found,642769371_YP_002140171_{pc}_hypothetical_protein_[Geobacter_bemidjiensis_Bem:_NC_011146]&Outer_Surface_MHC_in_PCC&,
E5_megahit_metabat_bin-113,bin-113:330/729_3,643638976_YP_002537141_{omc}_hypothetical_protein_[Geobacter_sp._FRC-32:_NC_011979],Outer_Surface_MHC_in_PCC,Not_found,643638976_YP_002537141_{omc}_hypothetical_protein_[Geobacter_sp._FRC&,
E5_megahit_metabat_bin-113,bin-113:157/729_18,DFE_0448,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-113,bin-113:256/729_15,DFE_0448,Outer_Surface_MHC,Not_found,DFE_0448&Outer_Surface_MHC&,
E5_megahit_metabat_bin-113,bin-113:256/729_16,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
E5_megahit_metabat_bin-113,bin-113:553/729_4,DFE_0448,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-113,bin-113:597/729_8,DFE_0449,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-113,bin-113:657/729_10,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&DFE_0465&Outer_Surface_MHC&,
E5_megahit_metabat_bin-113,bin-113:657/729_2,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
E5_megahit_metabat_bin-113,bin-113:657/729_5,DFE_0462,Periplasmic_MHC_in_PCC,Not_found,DFE_0462&Periplasmic_MHC_in_PCC&,
E5_megahit_metabat_bin-113,bin-113:150/729_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-113,bin-113:155/729_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-113,bin-113:155/729_2,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&Periplasmic_MHC_in_PCC&,
E5_megahit_metabat_bin-113,bin-113:224/729_3,Not_found,Outer_Surface_MHC,Not_found,napB&Outer_Surface_MHC&,
E5_megahit_metabat_bin-113,bin-113:347/729_2,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-113,bin-113:470/729_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-113,bin-113:496/729_10,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-068,Not_found,Not_found,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-160,bin-160:129/278_3,MtoA,Not_found,Not_found,MtoA&,
E5_megahit_metabat_bin-160,bin-160:129/278_4,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-160,bin-160:255/278_50,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-160,bin-160:269/278_3,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-030,bin-030:386/890_3,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-030,bin-030:228/890_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-030,bin-030:228/890_2,Cyc1,Not_found,Not_found,Irrelevant
