SeqNO.	Comp.Result	Di-pep.Result	part-Comp.Result	chemo-type.Result	Neighbor	#Combined:	extra	outer	peri	inner	cyto	#Most-likely-Location	#SeqName
#28	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.3149051	0.61505262	3.591388	0.114027226	0.3646256	Periplasmic	EnrD2m_bin_63___c_000000003593_3
#29	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	1.438543	0.9815137	2.454384	0.029120964	0.0964367	Periplasmic	EnrD2m_bin_63___c_000000003593_5
#30	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	4.240901	0.48673826	0.18117884	0.0693531823	0.0218289207	Extracellular	EnrD2m_bin_63___c_000000005349_7
#31	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.1039038	0.077653556	4.455095	0.11385068	0.24949708	Periplasmic	EnrD2m_bin_36___c_000000010481_5
#32	Periplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	Periplasmic	:	0.3142984	0.21004321	2.4771643	1.1403382	0.8581569	Periplasmic	EnrD2m_bin_18___c_000000004528_4
#33	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.5263777	0.091498976	4.262363	0.0413204044	0.07844017	Periplasmic	EnrD2m_bin_18___c_000000004528_6
#34	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.2809446	0.049286963	4.568449	0.034154708	0.06716489	Periplasmic	2582580664___TH2746DRAFT_TBhypo_metabat_2746_10005852.91_7
#35	Periplasmic	Periplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.18019063	0.3076119683	3.114683	0.546359061	0.85115696	Periplasmic	2582580664___TH2746DRAFT_TBhypo_metabat_2746_10005852.91_12
#36	Periplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	Periplasmic	:	0.11775473	0.16911121	2.167385	1.3626953	1.1830552	Periplasmic	2582580664___TH2746DRAFT_TBhypo_metabat_2746_10020536.270_1
#37	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	3.49376	0.98592787	0.258598	0.206922686	0.054791404	Extracellular	2582580664___TH2746DRAFT_TBhypo_metabat_2746_10010270.320_2
#38	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	1.348505	0.20045163	3.331221	0.028565594	0.09125736	Periplasmic	2582580664___TH2746DRAFT_TBhypo_metabat_2746_10003656.636_11
#39	Periplasmic	Periplasmic	Periplasmic	Cytoplasmic	Periplasmic	:	0.0327683	0.055980536	2.539097	0.18630049	2.185854	Periplasmic	2582580664___TH2746DRAFT_TBhypo_metabat_2746_10016310.713_3
#40	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	3.415106	1.0136439	0.2616992	0.2397469803	0.0698046	Extracellular	2582580653___TH1542DRAFT_TBhypo_metabat_1542_10003697.39_1
#41	Periplasmic	InnerMembrane	Periplasmic	InnerMembrane	Periplasmic	:	0.26467382	0.13657238	2.5616338	1.4500448	0.5870758	Periplasmic	2582580653___TH1542DRAFT_TBhypo_metabat_1542_10001883.44_18
#42	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.05898659	0.015374168	4.62622	0.1627783	0.13664244	Periplasmic	2582580653___TH1542DRAFT_TBhypo_metabat_1542_10001883.44_22
#43	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	3.116543	0.89315311	0.6086903	0.301366626	0.080246242	Extracellular	2582580653___TH1542DRAFT_TBhypo_metabat_1542_10001279.98_1
#44	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.1640756	0.0591997	3.776128	0.016457933	0.9841383	Periplasmic	2582580653___TH1542DRAFT_TBhypo_metabat_1542_10001103.101_5
#45	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.14588496	0.0622657462	4.469517	0.0513096202	0.271022445	Periplasmic	2582580653___TH1542DRAFT_TBhypo_metabat_1542_10000399.113_57
#46	Periplasmic	Periplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.33699007	0.12739145	2.7351952	1.4343571	0.3660658	Periplasmic	EnrD2m_bin_66___c_000000000109_18
#47	Periplasmic	Periplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.1595219	0.041670778	3.821964	0.38257052	0.5942716	Periplasmic	EnrD2m_bin_66___c_000000000306_44
#48	Periplasmic	Periplasmic	Extracellular	Extracellular	Periplasmic	:	1.5312428	0.32918781	2.745693	0.053211596	0.34066488	Periplasmic	EnrD2m_bin_66___c_000000002426_11
#49	Periplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	Periplasmic	:	0.1950042	0.103628124	1.6410136	1.9797188	1.0806351	InnerMembrane	EnrD2m_bin_66___c_000000002924_4
#50	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.16495975	0.038867561	4.299678	0.055652751	0.4408407	Periplasmic	EnrD2m_bin_66___c_000000002924_5
#51	Periplasmic	Extracellular	Extracellular	Extracellular	Extracellular	:	2.984059	0.17026194	1.35832537	0.141826179	0.34552691	Extracellular	EnrD2m_bin_51___c_000000000110_30
#52	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.8453666	1.04185676	2.2467028	0.1974507	0.6686226	Periplasmic	EnrD2m_bin_51___c_000000000204_7
#53	Cytoplasmic	Cytoplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.2967407	0.6250069	2.141922	0.762128	1.17420194	Periplasmic	EnrD2m_bin_51___c_000000004224_4
#54	Cytoplasmic	Periplasmic	Cytoplasmic	Periplasmic	Cytoplasmic	:	0.8001194	1.0645895	1.538139	0.3470351	1.2501173	Periplasmic	EnrD2m_bin_51___c_000000004224_7
#55	Extracellular	Extracellular	Extracellular	Extracellular	OuterMembrane	:	3.92631	0.821829	0.24252224	0.005133602	0.004206273	Extracellular	EnrD2m_bin_51___c_000000004224_11
#56	Periplasmic	Periplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.06606281	0.150788401	3.43135	1.00223439	0.34956404	Periplasmic	2582580687___TH4565DRAFT_TBhypo_metabat_4565_10022464.4_1
#57	Extracellular	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	1.1231918	0.47874805	3.080221	0.15301417	0.16482582	Periplasmic	2582580687___TH4565DRAFT_TBhypo_metabat_4565_10014993.6_3
#58	Periplasmic	Periplasmic	Periplasmic	Cytoplasmic	Periplasmic	:	0.68785859	0.3384093599	2.905653	0.36831098	0.6997672	Periplasmic	2582580687___TH4565DRAFT_TBhypo_metabat_4565_10014993.6_5
#59	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.19793145	0.134582559	4.02113	0.077966731	0.56838892	Periplasmic	2582580687___TH4565DRAFT_TBhypo_metabat_4565_10002103.114_18
#60	Periplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	Periplasmic	:	0.1815054	0.13165881	1.5379852	1.5711058	1.577746	Cytoplasmic	2582580687___TH4565DRAFT_TBhypo_metabat_4565_10008076.148_2
#61	Cytoplasmic	InnerMembrane	Cytoplasmic	Cytoplasmic	Cytoplasmic	:	0.07718319	0.10626563	1.140543	0.9651942	2.710816	Cytoplasmic	2582580687___TH4565DRAFT_TBhypo_metabat_4565_10008076.148_3
#62	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.31881177	0.118126988	3.17234	0.43271971	0.9580017	Periplasmic	2582580687___TH4565DRAFT_TBhypo_metabat_4565_10014448.185_1
#63	Cytoplasmic	InnerMembrane	Periplasmic	InnerMembrane	Periplasmic	:	0.04248134	0.094548182	1.939638	1.5538607	1.36947201	Periplasmic	2582580687___TH4565DRAFT_TBhypo_metabat_4565_10046310.221_2
#64	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.13355586	0.032327687	4.607543	0.09253005	0.13404377	Periplasmic	2582580687___TH4565DRAFT_TBhypo_metabat_4565_10006392.362_10
#65	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	1.1472301	0.5554696	2.853507	0.20639186	0.2374018	Periplasmic	2582580687___TH4565DRAFT_TBhypo_metabat_4565_10006392.362_11
#66	Periplasmic	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.02125563	0.0493218479	3.025437	0.01851141	1.885473	Periplasmic	2582580687___TH4565DRAFT_TBhypo_metabat_4565_10004895.375_7
#67	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.14335971	0.2430945627	4.407106	0.1034749	0.102963547	Periplasmic	2582580687___TH4565DRAFT_TBhypo_metabat_4565_10002782.394_15
#68	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.13359004	0.16677471	4.122826	0.35886204	0.21794771	Periplasmic	EnrD2m_bin_33___c_000000000043_28
#69	Periplasmic	OuterMembrane	Periplasmic	InnerMembrane	Periplasmic	:	0.4813997	0.677291188	3.0363386	0.63057877	0.17439332	Periplasmic	EnrFe2_bin_2___c_000000000041_6
#70	Cytoplasmic	Cytoplasmic	Cytoplasmic	InnerMembrane	Periplasmic	:	0.328705	0.29920744	1.3979458	0.7535207	2.22062	Cytoplasmic	EnrFe2_bin_2___c_000000000817_7
#71	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.5380696	0.3037992	2.763449	0.4935311	0.9011524	Periplasmic	EnrD2m_bin_4___c_000000015782_5
#72	Extracellular	Extracellular	Extracellular	Extracellular	Extracellular	:	4.596617	0.2532416	0.12701825	0.011903263	0.01122066	Extracellular	EnrD2m_bin_4___c_000000030163_2
#73	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.33544825	0.0333361429	4.46424	0.044719199	0.12225642	Periplasmic	EnrHum_bin_2___c_000000000146_7
#74	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.7154638	0.64106489	3.244202	0.18454247	0.21472627	Periplasmic	2582580669___TH3063DRAFT_TBhypo_metabat_3063_10007608.42_3
#75	Periplasmic	Periplasmic	Periplasmic	Cytoplasmic	Periplasmic	:	0.9975653	0.13160172	2.817612	0.19382528	0.8593952	Periplasmic	EnrD2m_bin_22___c_000000010515_6
#76	Periplasmic	Periplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.10836998	0.294990315	3.618278	0.80098002	0.17738287	Periplasmic	EnrBtr_bin_3___c_000000000107_48
#77	Periplasmic	Periplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.1990968	0.3000034	3.038934	0.58861519	0.8733488	Periplasmic	EnrFe2_bin_8___c_000000008935_1
#78	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	0.6764896	0.155728813	4.077132	0.025243033	0.06540633	Periplasmic	EnrHum_bin_11___c_000000007542_5
#79	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.3774794	0.141467054	4.043753	0.041756735	0.39554344	Periplasmic	EnrHum_bin_11___c_000000009295_2
#80	Cytoplasmic	Cytoplasmic	Cytoplasmic	Cytoplasmic	Cytoplasmic	:	0.13088327	0.09596572	0.8542195	0.60794618	3.310986	Cytoplasmic	2582580704___TH6736DRAFT_TBhypo_metabat_6736_10029662.3_3
#81	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.048710467	0.1708125196	3.544154	0.44107885	0.79524482	Periplasmic	2582580704___TH6736DRAFT_TBhypo_metabat_6736_10008211.108_2
#82	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.2277056	0.030307453	3.146261	0.6339587	0.9617665	Periplasmic	2582580704___TH6736DRAFT_TBhypo_metabat_6736_10049466.116_2
#83	Periplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	Periplasmic	:	0.13998838	0.14544348	1.4587579	1.8086021	1.447209	InnerMembrane	2582580672___TH3273DRAFT_TBhypo_metabat_3273_10000713.58_1
#84	Cytoplasmic	Periplasmic	Cytoplasmic	Cytoplasmic	Periplasmic	:	0.1617139	0.07375875	1.860559	0.8262474	2.077722	Cytoplasmic	2582580672___TH3273DRAFT_TBhypo_metabat_3273_10000713.58_2
#85	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	3.513588	0.85513432	0.4865477	0.103720026	0.041009639	Extracellular	2582580672___TH3273DRAFT_TBhypo_metabat_3273_10005460.85_1
#86	Cytoplasmic	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.08609592	0.14292733	2.850068	0.5668396	1.3540688	Periplasmic	2582580672___TH3273DRAFT_TBhypo_metabat_3273_10007593.98_8
#87	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.14302546	0.047626545	4.360421	0.1193845	0.3295432	Periplasmic	2582580672___TH3273DRAFT_TBhypo_metabat_3273_10002059.142_24
#88	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.212142447	0.0404696004	4.351886	0.07488709	0.320614421	Periplasmic	2582580672___TH3273DRAFT_TBhypo_metabat_3273_10008312.199_3
#89	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.26154297	0.083978785	4.098709	0.06174997	0.4940189	Periplasmic	2582580672___TH3273DRAFT_TBhypo_metabat_3273_10002961.228_5
#90	Extracellular	Extracellular	Extracellular	InnerMembrane	Extracellular	:	2.613055	0.6913114	0.7182588	0.694279532	0.28309767	Extracellular	2582580672___TH3273DRAFT_TBhypo_metabat_3273_10000422.241_9
#91	Periplasmic	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.03789954	0.020426917	3.625236	0.02896617	1.2874722	Periplasmic	2582580672___TH3273DRAFT_TBhypo_metabat_3273_10035884.263_2
#92	Periplasmic	OuterMembrane	Periplasmic	OuterMembrane	Periplasmic	:	0.2332926	1.006876	2.785146	0.24841295	0.726272	Periplasmic	EnrD2m_bin_47___c_000000000002_190
#93	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	0.75625106	0.0525389995	4.049245	0.041287913	0.100675673	Periplasmic	EnrHum_bin_5___c_000000000479_7
#94	Periplasmic	Periplasmic	Periplasmic	Cytoplasmic	Periplasmic	:	0.6861435	0.10076033	3.023105	0.14830933	1.0416838	Periplasmic	2593339177___TH00941DRAFT_TH00941_TBL_comb47_HYPODRAFT_10001425.14_33
#95	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.25415043	0.115597877	4.432639	0.081360445	0.11625224	Periplasmic	2582580648___TE911DRAFT_TBepi_metabat_911_1007957.5_2
#96	Periplasmic	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.01704833	0.0251592548	3.629739	0.02188802	1.3061629	Periplasmic	2582580648___TE911DRAFT_TBepi_metabat_911_1000852.14_10
#97	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.29689347	0.04624925	3.420679	0.2896378	0.946542	Periplasmic	2582580648___TE911DRAFT_TBepi_metabat_911_1000674.34_16
#98	Cytoplasmic	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.07307712	0.131399498	2.124664	1.1027083	1.5681525	Periplasmic	2582580648___TE911DRAFT_TBepi_metabat_911_1000275.55_28
#99	Extracellular	Extracellular	Extracellular	Extracellular	Extracellular	:	3.978817	0.32481858	0.5239895	0.146741854	0.025633384	Extracellular	2582580648___TE911DRAFT_TBepi_metabat_911_1001695.58_1
#100	Extracellular	Extracellular	Extracellular	InnerMembrane	Extracellular	:	3.399438	0.68470784	0.2564132	0.539607262	0.119832989	Extracellular	2582580648___TE911DRAFT_TBepi_metabat_911_1001695.58_3
#101	Periplasmic	Extracellular	Periplasmic	Periplasmic	Periplasmic	:	1.926605	0.13287415	2.538472	0.20075411	0.201296519	Periplasmic	2582580648___TE911DRAFT_TBepi_metabat_911_1001695.58_4
#102	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.5313297	0.06951284	4.138857	0.05393125	0.20636967	Periplasmic	2582580648___TE911DRAFT_TBepi_metabat_911_1001695.58_5
#103	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.33773067	0.354221475	4.08486	0.06538962	0.15779784	Periplasmic	2582580648___TE911DRAFT_TBepi_metabat_911_1000431.126_10
#104	Periplasmic	Periplasmic	Cytoplasmic	InnerMembrane	Periplasmic	:	0.1824474	0.14569593	1.640243	1.04542099	1.986194	Cytoplasmic	2582580648___TE911DRAFT_TBepi_metabat_911_1000234.133_28
#105	Periplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	Periplasmic	:	0.2154633	0.16966897	1.595964	1.6096177	1.4092877	InnerMembrane	2582580648___TE911DRAFT_TBepi_metabat_911_1000234.133_29
#106	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	3.489514	0.73209679	0.27139436	0.419226796	0.0877680764	Extracellular	2582580648___TE911DRAFT_TBepi_metabat_911_1000219.134_36
#107	Periplasmic	Extracellular	Periplasmic	Periplasmic	Periplasmic	:	1.381813	0.44767617	2.556376	0.13455579	0.4795776	Periplasmic	EnrD2m_bin_3___c_000000001553_17
#108	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.7595834	0.69041927	2.693951	0.17110623	0.6849418	Periplasmic	EnrD2m_bin_3___c_000000002498_15
#109	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.6091276	0.7210182	3.268566	0.08710622	0.314182	Periplasmic	EnrD2m_bin_3___c_000000007021_5
#110	Extracellular	Periplasmic	Extracellular	Periplasmic	Extracellular	:	1.7002215	0.4427006	2.356481	0.27815001	0.22244686	Periplasmic	2582580680___TH3815DRAFT_TBhypo_metabat_3815_10006410.37_1
#111	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	1.1880229	1.08569396	2.20312908	0.2010956	0.322059607	Periplasmic	2582580680___TH3815DRAFT_TBhypo_metabat_3815_10006410.37_3
#112	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.3639448	0.119110102	4.160326	0.15612929	0.20048991	Periplasmic	2582580680___TH3815DRAFT_TBhypo_metabat_3815_10006410.37_4
#113	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.6074714	0.8408062	2.951781	0.21673265	0.3832105	Periplasmic	2582580680___TH3815DRAFT_TBhypo_metabat_3815_10006410.37_5
#114	Periplasmic	Extracellular	Extracellular	Extracellular	Extracellular	:	2.4257	0.16211194	1.5765788	0.27110677	0.5645032	Extracellular	2582580680___TH3815DRAFT_TBhypo_metabat_3815_10032421.267_4
#115	Periplasmic	Extracellular	Periplasmic	OuterMembrane	Periplasmic	:	1.342238	0.587148158	2.639405	0.2094575	0.22174984	Periplasmic	2582580680___TH3815DRAFT_TBhypo_metabat_3815_10012539.340_4
#116	Periplasmic	Periplasmic	Extracellular	OuterMembrane	Periplasmic	:	1.599197	0.596910441	2.663222	0.092277918	0.048392774	Periplasmic	2582580680___TH3815DRAFT_TBhypo_metabat_3815_10015413.437_2
#117	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.7225195	0.4176246	2.953057	0.06535392	0.8414453	Periplasmic	2582580654___TH1998DRAFT_TBhypo_metabat_1998_10000036.3_69
#118	Extracellular	Extracellular	Extracellular	OuterMembrane	Extracellular	:	3.993441	0.60083802	0.13019416	0.220914337	0.054612634	Extracellular	2582580654___TH1998DRAFT_TBhypo_metabat_1998_10000357.5_54
#119	OuterMembrane	OuterMembrane	Periplasmic	OuterMembrane	OuterMembrane	:	0.6921171	2.154307	1.3861833	0.3102056	0.4571861	OuterMembrane	2582580654___TH1998DRAFT_TBhypo_metabat_1998_10000911.39_8
#120	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.4716641	0.4019195	3.890034	0.1628257421	0.07355566	Periplasmic	2582580654___TH1998DRAFT_TBhypo_metabat_1998_10000037.44_68
#121	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.5540086	0.2533172	3.590023	0.052861	0.5497906	Periplasmic	EnrHum_bin_8___c_000000006719_4
#122	Periplasmic	Periplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.1569691	0.18084337	3.202666	0.71221446	0.7473076	Periplasmic	EnrHum_bin_8___c_000000009880_2
#123	Periplasmic	Periplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.08127696	0.268296832	3.895177	0.58505925	0.17018881	Periplasmic	EnrHum_bin_8___c_000000010311_1
#124	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.6032081	0.122008878	3.701542	0.07870666	0.4945332	Periplasmic	EnrHum_bin_8___c_000000011434_2
#125	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.428988	0.26404224	4.143007	0.042688792	0.12127427	Periplasmic	EnrHum_bin_19___c_000000002447_4
#126	Periplasmic	Periplasmic	Cytoplasmic	InnerMembrane	Periplasmic	:	0.3022725	0.14284182	2.803216	0.59273167	1.1589381	Periplasmic	EnrHum_bin_19___c_000000012293_2
#127	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.1754577	0.1022419073	4.572995	0.063985106	0.08532048	Periplasmic	EnrD2m_bin_31___c_000000000115_16
#128	Periplasmic	Periplasmic	Cytoplasmic	Cytoplasmic	Periplasmic	:	0.1390111	0.07226169	2.6497714	0.4339976	1.7049592	Periplasmic	EnrD2m_bin_31___c_000000000115_69
#129	Periplasmic	InnerMembrane	Cytoplasmic	InnerMembrane	Periplasmic	:	0.15113688	0.15330464	1.6176647	1.42661864	1.651275	Cytoplasmic	EnrD2m_bin_31___c_000000000115_70
#130	Extracellular	Extracellular	Extracellular	InnerMembrane	Extracellular	:	3.453379	0.692800199	0.17573426	0.5531339046	0.12495202265	Extracellular	EnrD2m_bin_31___c_000000000405_26
#131	Extracellular	Extracellular	Extracellular	InnerMembrane	Extracellular	:	3.347739	0.66074886	0.20686271	0.619899745	0.16474929813	Extracellular	EnrD2m_bin_31___c_000000000405_27
